Hex,R,G,B
372100,55,33,0
372100,53,33,0
543324,84,51,36
545955,84,89,85
646464,100,100,100
720012,114,0,18
969696,150,150,150
00451a,0,69,26
00852b,0,133,43
009ece,0,158,206
00aaa4,0,170,164
069d9f,6,157,159
0e3e9a,14,62,154
19325a,25,50,90
1b2a34,0,0,0
1c58a7,28,88,167
1e5aa8,30,90,168
26469a,38,70,154
312b87,49,43,135
3e95b6,62,149,182
3fb6a9,63,182,169
441a91,68,26,145
468a5f,70,138,95
469bc3,70,155,195
476fb6,71,111,182
4861ac,72,97,172
56472f,86,71,47
564e9d,86,78,157
58ab41,88,171,65
5f3109,95,49,9
60ba76,96,186,118
671fa1,103,31,129
68c3e2,104,195,226
70819a,112,129,154
708e7c,112,142,124
7396c8,115,150,200
75657d,117,101,125
77774e,139,132,79
77c9d8,119,201,216
78fc78,120,252,120
7b5d41,123,93,65
7fc475,127,196,117
872b17,135,43,23
88605e,136,96,94
897d62,137,125,98
8a12a8,138,18,168
8a928d,138,146,141
8c00ff,140,0,255
8e5597,142,85,151
901f76,144,31,118
91501c,145,80,28
9195ca,145,149,202
97cbd9,151,203,217
9cd6cc,156,214,204
9dc3f7,157,195,247
a06eb9,160,110,185
a47624,164,118,36
a5ca18,165,202,24
aa7d55,170,125,85
abd9ff,171,217,255
ad6140,173,97,64
add9a8,173,217,168
afbed6,175,190,214
b0a06f,204,185,141
b40000,180,0,0
b7d425,183,212,37
bb805a,187,128,90
bcb4a5,188,180,165
c8c8c8,200,200,200
cda4de,205,164,222
cddd34,205,221,52
cf8a47,207,138,71
d05098,208,80,152
d3359d,200,80,155
d3f2ea,211,242,234
d67923,214,121,35
d86d2c,216,109,44
dd982e,221,152,46
deea92,222,234,146
e2f99a,226,249,154
ec441d,236,68,29
ee5434,238,84,52
ef5828,239,88,40
f06d61,240,109,97
f17880,241,120,128
f2705e,242,112,94
f3c988,243,201,136
f48147,244,129,71
f4f4f4,244,244,244
f58624,245,134,36
f6a9bb,246,169,187
f89a39,248,154,57
f9a777,249,167,119
f9b7a5,249,183,165
faa964,250,169,100
fac80a,250,200,10
fcac00,252,172,0
fdc383,253,195,131
ff6d77,,,
ff8014,255,128,20
ff8500,255,133,0
ff879c,255,135,156
ff9494,255,148,148
ff9ecd,255,158,205
ffc995,255,201,149
ffcf0b,255,207,11
ffd67f,255,214,141
ffec6c,255,236,108
fff230,255,242,48
,,,
,91,117,114